Port,Mode,AllowedVlan,AccessVlan,Status,Speed
topology/pod-1/node-1102/sys/phys-[eth1/29]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/30]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/31]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/32]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1103/sys/phys-[eth1/33]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/34]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/35]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/36]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/37]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/38]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/39]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/40]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/41]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/42]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/43]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/44]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/45]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/46]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/47]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/48]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/49]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/50]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1103/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1103/sys/phys-[eth1/1]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/2]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/3]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/4]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/5]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/6]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/7]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/8]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/9]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/10]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/11]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/12]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/13]/phys,trunk,"10,12",vlan-12,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/23]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/24]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/25]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/26]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/27]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/28]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/29]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/30]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/31]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/32]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/33]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/34]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/35]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/36]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/37]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/38]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/39]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/40]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/41]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/42]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/43]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/44]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/45]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/46]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/47]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/48]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/49]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1104/sys/phys-[eth1/50]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1104/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1104/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1104/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1104/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1104/sys/phys-[eth1/1]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/2]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/3]/phys,trunk,18-19,vlan-19,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/4]/phys,trunk,"5-6,8,20",vlan-8,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/5]/phys,trunk,18-19,vlan-19,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/6]/phys,trunk,"5-6,8,20",vlan-8,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/7]/phys,trunk,18-19,vlan-19,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/8]/phys,trunk,"5-6,8,20",vlan-8,up,10G
topology/pod-1/node-1104/sys/phys-[eth1/9]/phys,trunk,"9-10,12,14-15,21-29,32-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/10]/phys,trunk,"9-10,12,14-15,21-29,32-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/11]/phys,trunk,"9-10,12,14-15,21-29,32-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/12]/phys,trunk,"9-10,12,14-15,21-29,32-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/13]/phys,trunk,"11,13",vlan-13,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
